,choice_delay,total_delay
0,397,413
1,0,1
2,0,2
3,32,35
4,0,21
5,0,5
6,107,133
7,124,133
8,79,87
9,0,9
10,16,49
11,-1,0
12,-1,0
13,0,21
14,2,21
15,40,77
16,2,21
17,1,21
18,0,21
19,7,49
20,0,21
21,6,27
22,1,23
23,4,27
24,528,0
25,15,40
26,44,70
27,0,27
28,9,37
29,0,29
30,43,73
31,358,413
32,15,47
33,37,70
34,10,44
35,24,77
36,4,49
37,1,38
38,0,49
39,2,41
40,0,40
41,109,161
42,-1,0
43,1,49
44,13,77
45,13,77
46,3,49
47,4,77
48,33,105
49,5,54
50,9,59
51,4,55
52,5,57
53,16,77
54,50,104
55,4,59
56,0,56
57,8,65
58,0,77
59,99,158
60,2,62
61,31,105
62,-1,0
63,4,77
64,1,65
65,73,138
66,52,133
67,5,77
68,1,77
69,15,105
70,2,77
71,39,133
72,9,105
73,0,77
74,52,126
75,0,77
76,1,77
77,13,90
78,4,82
79,1,80
80,0,80
81,46,127
82,3,85
83,9,105
84,10,94
85,0,105
86,30,116
87,67,154
88,129,217
89,0,105
90,55,145
91,0,105
92,4,96
93,1,105
94,4,105
95,1,105
96,2,98
97,-1,0
98,0,98
99,0,105
100,0,105
101,20,121
102,0,105
103,0,105
104,11,133
105,41,146
106,26,133
107,49,161
108,8,133
109,-1,0
110,0,110
111,15,133
112,123,235
113,6,133
114,-1,0
115,6,121
116,161,277
117,58,268
118,43,161
119,0,119
120,-1,0
121,3,124
122,254,0
123,3,126
124,1,133
125,0,133
126,0,133
127,0,133
128,0,133
129,0,133
130,0,133
131,0,133
132,2,161
133,69,202
134,12,146
135,8,143
136,67,203
137,47,201
138,1,139
139,50,356
140,2,142
141,42,273
142,64,206
143,370,525
144,11,155
145,0,145
146,0,146
147,445,609
148,0,161
149,3,161
150,0,161
151,0,161
152,27,0
153,114,267
154,-1,0
155,-1,0
156,1,161
157,0,161
158,1,159
159,1,161
160,0,161
161,13,294
162,90,252
163,87,273
164,1,165
165,22,245
166,8,215
167,1,217
168,1,169
169,4,233
170,1,200
171,2,218
172,10,217
173,6,301
174,254,428
175,2,211
176,1,217
177,9,217
178,20,217
179,83,262
180,2,217
181,8,301
182,1,245
183,1,217
184,1,217
185,1,217
186,7,217
187,-1,0
188,0,217
189,0,241
190,4,203
191,0,201
192,0,203
193,3,201
194,10,204
195,10,205
196,36,232
197,500,721
198,21,219
199,198,413
200,64,264
201,4,217
202,8,217
203,-1,0
204,3,217
205,120,325
206,-1,0
207,65,272
208,0,217
209,0,217
210,126,336
211,20,231
212,9,245
213,2,217
214,4,245
215,0,217
216,0,217
217,2,245
218,1,219
219,-1,0
220,0,220
221,0,221
222,6,228
223,79,302
224,3,227
225,112,357
226,0,226
227,4,231
228,93,321
229,235,469
230,6,245
231,7,238
232,0,245
233,44,301
234,1,235
235,1,245
236,2,245
237,29,273
238,1,245
239,0,245
240,1,245
241,1,245
242,18,273
243,26,269
244,0,245
245,17,262
246,424,670
247,0,247
248,-1,0
249,393,665
250,8,258
251,158,409
252,-1,0
253,2,255
254,14,268
255,5,260
256,48,304
257,1,258
258,186,469
259,1,273
260,10,270
261,0,261
262,3,273
263,0,273
264,-1,0
265,0,265
266,1,273
267,4,271
268,0,268
269,102,469
270,11,281
271,0,273
272,-1,0
273,4,277
274,8,282
275,11,286
276,17,293
277,-1,0
278,205,665
279,27,329
280,18,298
281,0,281
282,6,301
283,330,637
284,2,286
285,14,299
286,25,311
287,2,289
288,-1,0
289,11,300
290,1,301
291,2,301
292,8,301
293,1,301
294,11,305
295,-1,0
296,0,301
297,24,329
298,2,301
299,0,301
300,0,301
301,4,305
302,409,711
303,58,469
304,100,404
305,10,315
306,116,441
307,178,0
308,16,324
309,25,334
310,0,329
311,13,329
312,2,314
313,9,322
314,2,329
315,2,329
316,0,316
317,53,370
318,0,318
319,1,320
320,3,329
321,0,329
322,74,413
323,0,329
324,1,329
325,0,329
326,20,346
327,1,329
328,0,329
329,3,332
330,4,334
331,-1,0
332,22,354
333,1,334
334,3,357
335,44,441
336,0,336
337,124,461
338,-1,0
339,42,637
340,2,342
341,4,345
342,43,413
343,0,357
344,4,348
345,3,348
346,42,413
347,6,357
348,24,372
349,0,357
350,0,357
351,3,354
352,0,357
353,1,357
354,3,357
355,9,441
356,0,357
357,27,384
358,12,370
359,3,362
360,6,366
361,78,0
362,102,464
363,22,400
364,0,413
365,-1,0
366,-1,0
367,6,413
368,11,525
369,20,413
370,155,525
371,2,413
372,200,581
373,0,373
374,11,413
375,1,413
376,48,424
377,1,378
378,3,413
379,10,413
380,5,402
381,250,631
382,13,413
383,2,413
384,1,413
385,246,637
386,1,404
387,3,413
388,176,564
389,33,441
390,0,413
391,99,0
392,0,413
393,1,413
394,1,413
395,1,413
396,16,413
397,286,683
398,1,400
399,3,402
400,9,413
401,-1,0
402,2,413
403,21,441
404,0,413
405,8,413
406,16,422
407,0,413
408,7,441
409,0,413
410,0,413
411,25,441
412,4,441
413,26,439
414,109,523
415,-1,0
416,0,416
417,44,469
418,43,461
419,59,478
420,10,430
421,28,449
422,38,460
423,3,426
424,14,441
425,264,689
426,3,441
427,13,440
428,-1,0
429,8,437
430,3,433
431,9,440
432,4,436
433,0,433
434,1,435
435,0,441
436,0,441
437,1,441
438,1,441
439,5,469
440,0,441
441,11,452
442,9,451
443,41,542
444,34,552
445,0,445
446,6,452
447,48,0
448,43,0
449,92,637
450,16,466
451,1,469
452,0,452
453,11,464
454,1,469
455,-1,0
456,4,460
457,3,469
458,1,459
459,0,459
460,0,469
461,5,469
462,0,469
463,0,463
464,127,609
465,1,466
466,1,469
467,1,469
468,34,525
469,80,549
470,16,539
471,-1,0
472,-1,0
473,0,473
474,51,525
475,14,553
476,2,525
477,243,720
478,-1,0
479,17,637
480,-1,0
481,4,525
482,41,523
483,0,520
484,5,581
485,19,525
486,0,520
487,0,525
488,8,529
489,5,525
490,13,525
491,0,525
492,3,525
493,4,525
494,0,525
495,3,525
496,7,535
497,68,581
498,25,523
499,69,568
500,113,613
501,9,525
502,-1,0
503,26,529
504,4,523
505,7,525
506,8,603
507,0,525
508,97,609
509,31,581
510,1,525
511,93,604
512,4,0
513,12,525
514,0,525
515,160,693
516,0,525
517,7,524
518,0,525
519,19,560
520,22,0
521,80,609
522,88,637
523,8,553
524,146,693
525,0,525
526,2,528
527,0,527
528,54,582
529,89,618
530,-1,0
531,-1,0
532,-1,0
533,-1,0
534,3,537
535,1,536
536,8,544
537,0,581
538,16,637
539,14,562
540,112,665
541,3,581
542,1,543
543,0,543
544,22,581
545,10,0
546,2,581
547,0,547
548,8,581
549,2,560
550,0,550
551,4,581
552,9,581
553,0,560
554,12,566
555,-1,0
556,4,560
557,9,581
558,2,581
559,3,562
560,0,581
561,8,569
562,92,654
563,17,581
564,8,581
565,1,566
566,0,566
567,22,609
568,9,581
569,-1,0
570,3,573
571,25,609
572,0,572
573,38,637
574,9,583
575,24,599
576,38,637
577,0,581
578,2,581
579,0,579
580,0,581
581,0,581
582,0,609
583,-1,0
584,3,587
585,25,610
586,15,601
587,1,588
588,0,588
589,75,664
590,3,593
591,61,665
592,2,609
593,1,594
594,78,693
595,5,600
596,0,609
597,5,602
598,2,609
599,0,609
600,4,604
601,0,601
602,-1,0
603,21,637
604,33,637
605,26,637
606,0,609
607,0,609
608,4,637
609,-1,0
610,-1,0
611,1,612
612,14,626
613,-1,0
614,37,651
615,3,637
616,1,617
617,65,682
618,9,627
619,20,0
620,24,644
621,5,637
622,-1,0
623,3,0
624,6,630
625,2,627
626,3,637
627,0,627
628,5,637
629,0,665
630,17,665
631,24,665
632,74,721
633,0,637
634,0,637
635,2,640
636,-1,0
637,2,665
638,-1,0
639,2,641
640,4,665
641,3,644
642,-1,0
643,-1,0
644,0,644
645,0,645
646,0,646
647,10,657
648,22,693
649,-1,0
650,13,663
651,0,651
652,34,693
653,0,665
654,2,665
655,8,665
656,46,702
657,25,693
658,3,661
659,0,665
660,3,665
661,0,661
662,0,665
663,-1,0
664,10,693
665,22,687
666,-1,0
667,2,693
668,-1,0
669,3,693
670,0,693
671,48,721
672,11,683
673,4,677
674,7,681
675,0,675
676,14,690
677,-1,0
678,-1,0
679,-1,0
680,0,693
681,2,693
682,2,684
683,1,684
684,3,687
685,0,693
686,0,693
687,-1,0
688,0,688
689,3,693
690,0,693
691,1,693
692,0,693
693,1,694
694,-1,0
695,-1,0
696,11,707
697,4,701
698,7,705
699,-1,0
700,-1,0
701,12,721
702,-1,0
703,9,712
704,10,714
705,1,721
706,0,721
707,-1,0
708,0,721
709,2,721
710,8,718
711,10,721
712,8,721
713,-1,0
714,-1,0
715,1,721
716,0,721
717,1,721
718,0,721
719,1,720
720,7,0
721,6,727
722,-1,0
723,4,727
724,1,725
725,-1,0
726,1,727
727,-1,0
728,-1,0
729,-1,0
